group,id,course,module,grade
1,1,Art and Symbolism,2,16.5
1,1,Art and Symbolism,2,7
1,1,Art and Symbolism,2,9
1,1,Art and Symbolism,2,11
1,1,Art and Symbolism,2,13.5
1,1,Art and Symbolism,2,7.5
1,1,Astronomy and Celestial Navigation,1,18.25
1,1,Astronomy and Celestial Navigation,1,12
1,1,Astronomy and Celestial Navigation,1,10.25
1,1,Astronomy and Celestial Navigation,1,11.25
1,1,Astronomy and Celestial Navigation,1,15
1,1,Astronomy and Celestial Navigation,1,8.25
1,1,Astronomy and Celestial Navigation,1,13.75
1,1,Astronomy and Celestial Navigation,1,16
1,1,Environmental Stewardship,1,10.75
1,1,Environmental Stewardship,1,14
1,1,Environmental Stewardship,1,12.5
1,1,Environmental Stewardship,1,13
1,1,Environmental Stewardship,1,12
1,1,Environmental Stewardship,1,16
1,1,Environmental Stewardship,1,13.75
1,1,Environmental Stewardship,1,14
1,1,Environmental Stewardship,1,13.5
1,1,Herbalism and Medicine,1,5
1,1,Herbalism and Medicine,1,6.25
1,1,Herbalism and Medicine,1,6
1,1,Herbalism and Medicine,1,8.5
1,1,Herbalism and Medicine,1,6.75
1,1,Hunting and Gathering Skills,2,13.5
1,1,Hunting and Gathering Skills,2,8.5
1,1,Hunting and Gathering Skills,2,18
1,1,Hunting and Gathering Skills,2,12.5
1,1,Hunting and Gathering Skills,2,12
1,1,Hunting and Gathering Skills,2,11
1,1,Language and Linguistics,2,19
1,1,Language and Linguistics,2,11
1,1,Language and Linguistics,2,8
1,1,Language and Linguistics,2,10
1,1,Language and Linguistics,2,11
1,1,Language and Linguistics,2,8
1,1,Language and Linguistics,2,17
1,1,Language and Linguistics,2,0
1,1,Language and Linguistics,2,12
1,1,Shamanism and Spiritual Practices,2,9
1,1,Shamanism and Spiritual Practices,2,7.5
1,1,Shamanism and Spiritual Practices,2,11
1,1,Shamanism and Spiritual Practices,2,10.5
1,1,Shamanism and Spiritual Practices,2,10
1,1,Shamanism and Spiritual Practices,2,8.5
1,1,Shamanism and Spiritual Practices,2,4.5
1,1,Shamanism and Spiritual Practices,2,10.5
1,1,Shamanism and Spiritual Practices,2,10
1,1,Social Organization and Governance,2,14
1,1,Social Organization and Governance,2,12.5
1,1,Social Organization and Governance,2,10.5
1,1,Social Organization and Governance,2,13.5
1,1,Social Organization and Governance,2,13
1,1,Tribal Lore and Traditions,1,17
1,1,Tribal Lore and Traditions,1,13.5
1,1,Tribal Lore and Traditions,1,13.5
1,1,Warfare and Diplomacy,1,7
1,1,Warfare and Diplomacy,1,9
1,1,Warfare and Diplomacy,1,6.5
1,1,Warfare and Diplomacy,1,11.5
1,1,Warfare and Diplomacy,1,10.5
1,1,Warfare and Diplomacy,1,9
1,1,Warfare and Diplomacy,1,8
1,6,Art and Symbolism,2,6.5
1,6,Art and Symbolism,2,8
1,6,Art and Symbolism,2,11.5
1,6,Art and Symbolism,2,6.5
1,6,Art and Symbolism,2,10.5
1,6,Art and Symbolism,2,9
1,6,Art and Symbolism,2,15
1,6,Astronomy and Celestial Navigation,1,12
1,6,Astronomy and Celestial Navigation,1,9.75
1,6,Astronomy and Celestial Navigation,1,7.25
1,6,Astronomy and Celestial Navigation,1,10.25
1,6,Astronomy and Celestial Navigation,1,12.75
1,6,Astronomy and Celestial Navigation,1,14.25
1,6,Astronomy and Celestial Navigation,1,16.75
1,6,Astronomy and Celestial Navigation,1,12.75
1,6,Environmental Stewardship,1,12.25
1,6,Environmental Stewardship,1,15
1,6,Environmental Stewardship,1,13.75
1,6,Environmental Stewardship,1,13.25
1,6,Environmental Stewardship,1,12.75
1,6,Environmental Stewardship,1,15.25
1,6,Environmental Stewardship,1,14.25
1,6,Environmental Stewardship,1,12.75
1,6,Environmental Stewardship,1,13.5
1,6,Environmental Stewardship,1,13.75
1,6,Herbalism and Medicine,1,9.75
1,6,Herbalism and Medicine,1,8.5
1,6,Herbalism and Medicine,1,10.25
1,6,Herbalism and Medicine,1,11.5
1,6,Herbalism and Medicine,1,6.75
1,6,Hunting and Gathering Skills,2,11
1,6,Hunting and Gathering Skills,2,7
1,6,Hunting and Gathering Skills,2,18
1,6,Hunting and Gathering Skills,2,19.5
1,6,Hunting and Gathering Skills,2,6.5
1,6,Hunting and Gathering Skills,2,9.5
1,6,Language and Linguistics,2,13
1,6,Language and Linguistics,2,9
1,6,Language and Linguistics,2,4
1,6,Language and Linguistics,2,9
1,6,Language and Linguistics,2,10
1,6,Language and Linguistics,2,8
1,6,Language and Linguistics,2,6
1,6,Language and Linguistics,2,9
1,6,Shamanism and Spiritual Practices,2,8.5
1,6,Shamanism and Spiritual Practices,2,11
1,6,Shamanism and Spiritual Practices,2,9
1,6,Shamanism and Spiritual Practices,2,9.5
1,6,Shamanism and Spiritual Practices,2,8
1,6,Shamanism and Spiritual Practices,2,9.5
1,6,Shamanism and Spiritual Practices,2,8
1,6,Shamanism and Spiritual Practices,2,8
1,6,Social Organization and Governance,2,15.5
1,6,Social Organization and Governance,2,13
1,6,Social Organization and Governance,2,11
1,6,Social Organization and Governance,2,11
1,6,Social Organization and Governance,2,15
1,6,Tribal Lore and Traditions,1,13
1,6,Tribal Lore and Traditions,1,12
1,6,Tribal Lore and Traditions,1,14.5
1,6,Warfare and Diplomacy,1,7
1,6,Warfare and Diplomacy,1,7.5
1,6,Warfare and Diplomacy,1,8
1,6,Warfare and Diplomacy,1,7
1,6,Warfare and Diplomacy,1,9
1,6,Warfare and Diplomacy,1,10.5
1,6,Warfare and Diplomacy,1,10
1,6,Warfare and Diplomacy,1,6.5
1,25,Art and Symbolism,2,6.5
1,25,Art and Symbolism,2,10
1,25,Art and Symbolism,2,9
1,25,Art and Symbolism,2,11
1,25,Art and Symbolism,2,13
1,25,Art and Symbolism,2,8.5
1,25,Art and Symbolism,2,9.5
1,25,Astronomy and Celestial Navigation,1,7.75
1,25,Astronomy and Celestial Navigation,1,13.25
1,25,Astronomy and Celestial Navigation,1,8
1,25,Astronomy and Celestial Navigation,1,14.75
1,25,Astronomy and Celestial Navigation,1,8.25
1,25,Astronomy and Celestial Navigation,1,12.75
1,25,Astronomy and Celestial Navigation,1,11
1,25,Astronomy and Celestial Navigation,1,11.25
1,25,Environmental Stewardship,1,13.75
1,25,Environmental Stewardship,1,11.75
1,25,Environmental Stewardship,1,14
1,25,Environmental Stewardship,1,13
1,25,Environmental Stewardship,1,15.5
1,25,Environmental Stewardship,1,14.25
1,25,Environmental Stewardship,1,13.5
1,25,Environmental Stewardship,1,14.75
1,25,Environmental Stewardship,1,13
1,25,Environmental Stewardship,1,13
1,25,Herbalism and Medicine,1,4.75
1,25,Herbalism and Medicine,1,7.25
1,25,Herbalism and Medicine,1,2.5
1,25,Herbalism and Medicine,1,12.75
1,25,Hunting and Gathering Skills,2,15.5
1,25,Hunting and Gathering Skills,2,10
1,25,Hunting and Gathering Skills,2,12.5
1,25,Hunting and Gathering Skills,2,12.5
1,25,Hunting and Gathering Skills,2,17
1,25,Hunting and Gathering Skills,2,14
1,25,Language and Linguistics,2,6
1,25,Language and Linguistics,2,9
1,25,Language and Linguistics,2,9
1,25,Language and Linguistics,2,8
1,25,Language and Linguistics,2,10
1,25,Language and Linguistics,2,9
1,25,Language and Linguistics,2,7
1,25,Language and Linguistics,2,3
1,25,Language and Linguistics,2,9
1,25,Shamanism and Spiritual Practices,2,9.5
1,25,Shamanism and Spiritual Practices,2,7
1,25,Shamanism and Spiritual Practices,2,10
1,25,Shamanism and Spiritual Practices,2,8
1,25,Shamanism and Spiritual Practices,2,8.5
1,25,Shamanism and Spiritual Practices,2,11
1,25,Shamanism and Spiritual Practices,2,10.5
1,25,Shamanism and Spiritual Practices,2,11
1,25,Shamanism and Spiritual Practices,2,10.5
1,25,Shamanism and Spiritual Practices,2,9
1,25,Social Organization and Governance,2,14.5
1,25,Social Organization and Governance,2,10.5
1,25,Social Organization and Governance,2,12.5
1,25,Social Organization and Governance,2,11
1,25,Social Organization and Governance,2,13.5
1,25,Tribal Lore and Traditions,1,12
1,25,Tribal Lore and Traditions,1,13
1,25,Tribal Lore and Traditions,1,12.5
1,25,Warfare and Diplomacy,1,5.5
1,25,Warfare and Diplomacy,1,8
1,25,Warfare and Diplomacy,1,8
1,25,Warfare and Diplomacy,1,11
1,25,Warfare and Diplomacy,1,7
1,25,Warfare and Diplomacy,1,7.5
1,25,Warfare and Diplomacy,1,8
1,25,Warfare and Diplomacy,1,9
1,32,Art and Symbolism,2,14
1,32,Art and Symbolism,2,7
1,32,Art and Symbolism,2,11
1,32,Art and Symbolism,2,11.5
1,32,Art and Symbolism,2,7
1,32,Astronomy and Celestial Navigation,1,17
1,32,Astronomy and Celestial Navigation,1,10
1,32,Astronomy and Celestial Navigation,1,13.5
1,32,Astronomy and Celestial Navigation,1,9
1,32,Astronomy and Celestial Navigation,1,15
1,32,Astronomy and Celestial Navigation,1,5.25
1,32,Astronomy and Celestial Navigation,1,14.5
1,32,Astronomy and Celestial Navigation,1,10.75
1,32,Environmental Stewardship,1,11.5
1,32,Environmental Stewardship,1,14.25
1,32,Environmental Stewardship,1,11.5
1,32,Environmental Stewardship,1,11
1,32,Environmental Stewardship,1,15
1,32,Environmental Stewardship,1,15
1,32,Environmental Stewardship,1,14
1,32,Environmental Stewardship,1,12.75
1,32,Environmental Stewardship,1,12.75
1,32,Environmental Stewardship,1,12
1,32,Herbalism and Medicine,1,2.75
1,32,Herbalism and Medicine,1,4.5
1,32,Herbalism and Medicine,1,8
1,32,Herbalism and Medicine,1,9.5
1,32,Herbalism and Medicine,1,4.75
1,32,Hunting and Gathering Skills,2,15.5
1,32,Hunting and Gathering Skills,2,16
1,32,Hunting and Gathering Skills,2,17.5
1,32,Hunting and Gathering Skills,2,13.5
1,32,Hunting and Gathering Skills,2,8.5
1,32,Language and Linguistics,2,5
1,32,Language and Linguistics,2,10
1,32,Language and Linguistics,2,15
1,32,Language and Linguistics,2,6
1,32,Language and Linguistics,2,5
1,32,Language and Linguistics,2,16
1,32,Language and Linguistics,2,6
1,32,Shamanism and Spiritual Practices,2,8.5
1,32,Shamanism and Spiritual Practices,2,7
1,32,Shamanism and Spiritual Practices,2,9.5
1,32,Shamanism and Spiritual Practices,2,8.5
1,32,Shamanism and Spiritual Practices,2,8.5
1,32,Shamanism and Spiritual Practices,2,10
1,32,Shamanism and Spiritual Practices,2,9.5
1,32,Shamanism and Spiritual Practices,2,9.5
1,32,Shamanism and Spiritual Practices,2,7.5
1,32,Shamanism and Spiritual Practices,2,6.5
1,32,Social Organization and Governance,2,12
1,32,Social Organization and Governance,2,13
1,32,Social Organization and Governance,2,13
1,32,Social Organization and Governance,2,13
1,32,Social Organization and Governance,2,10.5
1,32,Tribal Lore and Traditions,1,13
1,32,Tribal Lore and Traditions,1,13.5
1,32,Tribal Lore and Traditions,1,12.5
1,32,Warfare and Diplomacy,1,6
1,32,Warfare and Diplomacy,1,7.5
1,32,Warfare and Diplomacy,1,8.5
1,32,Warfare and Diplomacy,1,3
1,32,Warfare and Diplomacy,1,13.5
1,32,Warfare and Diplomacy,1,8.5
1,32,Warfare and Diplomacy,1,16.5
1,32,Warfare and Diplomacy,1,4
1,42,Art and Symbolism,2,4.5
1,42,Art and Symbolism,2,7.5
1,42,Art and Symbolism,2,9
1,42,Art and Symbolism,2,6
1,42,Art and Symbolism,2,4.5
1,42,Art and Symbolism,2,10.5
1,42,Art and Symbolism,2,11
1,42,Astronomy and Celestial Navigation,1,16.75
1,42,Astronomy and Celestial Navigation,1,6
1,42,Astronomy and Celestial Navigation,1,12
1,42,Astronomy and Celestial Navigation,1,5.5
1,42,Astronomy and Celestial Navigation,1,11.25
1,42,Astronomy and Celestial Navigation,1,13
1,42,Astronomy and Celestial Navigation,1,12.75
1,42,Astronomy and Celestial Navigation,1,10
1,42,Environmental Stewardship,1,15.5
1,42,Environmental Stewardship,1,13.75
1,42,Environmental Stewardship,1,13.5
1,42,Environmental Stewardship,1,14
1,42,Environmental Stewardship,1,12.5
1,42,Environmental Stewardship,1,14.25
1,42,Environmental Stewardship,1,15
1,42,Environmental Stewardship,1,12.5
1,42,Environmental Stewardship,1,16
1,42,Environmental Stewardship,1,12
1,42,Herbalism and Medicine,1,5.75
1,42,Herbalism and Medicine,1,6.25
1,42,Herbalism and Medicine,1,10.5
1,42,Herbalism and Medicine,1,7.5
1,42,Herbalism and Medicine,1,9.75
1,42,Hunting and Gathering Skills,2,18
1,42,Hunting and Gathering Skills,2,13
1,42,Hunting and Gathering Skills,2,4
1,42,Hunting and Gathering Skills,2,6.5
1,42,Hunting and Gathering Skills,2,12.5
1,42,Hunting and Gathering Skills,2,15
1,42,Language and Linguistics,2,0
1,42,Language and Linguistics,2,7
1,42,Language and Linguistics,2,6
1,42,Language and Linguistics,2,8
1,42,Language and Linguistics,2,5
1,42,Language and Linguistics,2,8
1,42,Language and Linguistics,2,14
1,42,Language and Linguistics,2,12
1,42,Language and Linguistics,2,4
1,42,Shamanism and Spiritual Practices,2,8.5
1,42,Shamanism and Spiritual Practices,2,10
1,42,Shamanism and Spiritual Practices,2,9.5
1,42,Shamanism and Spiritual Practices,2,5.5
1,42,Shamanism and Spiritual Practices,2,7
1,42,Shamanism and Spiritual Practices,2,8
1,42,Shamanism and Spiritual Practices,2,9
1,42,Shamanism and Spiritual Practices,2,12.5
1,42,Shamanism and Spiritual Practices,2,7
1,42,Shamanism and Spiritual Practices,2,8
1,42,Social Organization and Governance,2,15.5
1,42,Social Organization and Governance,2,12.5
1,42,Social Organization and Governance,2,8
1,42,Social Organization and Governance,2,13
1,42,Tribal Lore and Traditions,1,10
1,42,Tribal Lore and Traditions,1,11.5
1,42,Tribal Lore and Traditions,1,14
1,42,Warfare and Diplomacy,1,9
1,42,Warfare and Diplomacy,1,10
1,42,Warfare and Diplomacy,1,6.5
1,42,Warfare and Diplomacy,1,9
1,42,Warfare and Diplomacy,1,13.5
1,42,Warfare and Diplomacy,1,16
1,42,Warfare and Diplomacy,1,11
1,42,Warfare and Diplomacy,1,10.5
1,121,Art and Symbolism,2,12
1,121,Art and Symbolism,2,11.5
1,121,Art and Symbolism,2,10
1,121,Art and Symbolism,2,9
1,121,Art and Symbolism,2,9.5
1,121,Art and Symbolism,2,8.5
1,121,Art and Symbolism,2,6.5
1,121,Astronomy and Celestial Navigation,1,9.75
1,121,Astronomy and Celestial Navigation,1,12
1,121,Astronomy and Celestial Navigation,1,13.25
1,121,Astronomy and Celestial Navigation,1,15.5
1,121,Astronomy and Celestial Navigation,1,20
1,121,Astronomy and Celestial Navigation,1,10.25
1,121,Astronomy and Celestial Navigation,1,13
1,121,Astronomy and Celestial Navigation,1,14
1,121,Environmental Stewardship,1,13.25
1,121,Environmental Stewardship,1,16
1,121,Environmental Stewardship,1,12
1,121,Environmental Stewardship,1,13.75
1,121,Environmental Stewardship,1,13.75
1,121,Environmental Stewardship,1,14.5
1,121,Environmental Stewardship,1,12
1,121,Environmental Stewardship,1,11.75
1,121,Environmental Stewardship,1,14.75
1,121,Environmental Stewardship,1,13
1,121,Herbalism and Medicine,1,5.75
1,121,Herbalism and Medicine,1,9.75
1,121,Herbalism and Medicine,1,8.75
1,121,Herbalism and Medicine,1,1
1,121,Herbalism and Medicine,1,6
1,121,Hunting and Gathering Skills,2,5.5
1,121,Hunting and Gathering Skills,2,14.5
1,121,Hunting and Gathering Skills,2,16
1,121,Hunting and Gathering Skills,2,16
1,121,Hunting and Gathering Skills,2,12
1,121,Hunting and Gathering Skills,2,11.5
1,121,Language and Linguistics,2,12
1,121,Language and Linguistics,2,12
1,121,Language and Linguistics,2,14
1,121,Language and Linguistics,2,11
1,121,Language and Linguistics,2,11
1,121,Language and Linguistics,2,10
1,121,Language and Linguistics,2,10
1,121,Language and Linguistics,2,5
1,121,Language and Linguistics,2,6
1,121,Shamanism and Spiritual Practices,2,11.5
1,121,Shamanism and Spiritual Practices,2,11
1,121,Shamanism and Spiritual Practices,2,10
1,121,Shamanism and Spiritual Practices,2,9
1,121,Shamanism and Spiritual Practices,2,10.5
1,121,Shamanism and Spiritual Practices,2,8
1,121,Shamanism and Spiritual Practices,2,9.5
1,121,Shamanism and Spiritual Practices,2,9.5
1,121,Shamanism and Spiritual Practices,2,6.5
1,121,Social Organization and Governance,2,13
1,121,Social Organization and Governance,2,13
1,121,Social Organization and Governance,2,10.5
1,121,Social Organization and Governance,2,14.5
1,121,Social Organization and Governance,2,14.5
1,121,Tribal Lore and Traditions,1,13.5
1,121,Tribal Lore and Traditions,1,14.5
1,121,Tribal Lore and Traditions,1,15
1,121,Warfare and Diplomacy,1,11
1,121,Warfare and Diplomacy,1,9
1,121,Warfare and Diplomacy,1,12
1,121,Warfare and Diplomacy,1,6.5
1,121,Warfare and Diplomacy,1,15
1,121,Warfare and Diplomacy,1,10.5
1,121,Warfare and Diplomacy,1,4.5
1,143,Art and Symbolism,2,10.5
1,143,Art and Symbolism,2,8
1,143,Art and Symbolism,2,11.5
1,143,Art and Symbolism,2,11
1,143,Art and Symbolism,2,11
1,143,Art and Symbolism,2,6
1,143,Art and Symbolism,2,10
1,143,Astronomy and Celestial Navigation,1,14.5
1,143,Astronomy and Celestial Navigation,1,15.75
1,143,Astronomy and Celestial Navigation,1,11
1,143,Astronomy and Celestial Navigation,1,8.5
1,143,Astronomy and Celestial Navigation,1,15
1,143,Astronomy and Celestial Navigation,1,13.75
1,143,Astronomy and Celestial Navigation,1,11.25
1,143,Environmental Stewardship,1,13.25
1,143,Environmental Stewardship,1,15
1,143,Environmental Stewardship,1,12.25
1,143,Environmental Stewardship,1,14
1,143,Environmental Stewardship,1,12.25
1,143,Environmental Stewardship,1,14.25
1,143,Environmental Stewardship,1,12.75
